result,1022result,result1022,1022result-staging.mapplegames.com,817175755994.dkr.ecr.eu-west-1.amazonaws.com/1022result,codebuild created,,,
pnl,1022pnl,pnl1022,1022pnl-staging.mapplegames.com,817175755994.dkr.ecr.eu-west-1.amazonaws.com/1022pnl,codebuild created,,,
liveapi,1022liveapi,liveapi1022,1022gameui-staging-api.mapplegames.com,817175755994.dkr.ecr.eu-west-1.amazonaws.com/1022liveapi,codebuild created,,,
verfiy,1022verfiy,verify1022,1022verify-staging.mapplegames.com,817175755994.dkr.ecr.eu-west-1.amazonaws.com/1022verfiy,codebuild created,,,
replayapi,1022replayapi,replayapi1022,1022replayapi-staging.mapplegames.com,817175755994.dkr.ecr.eu-west-1.amazonaws.com/1022replayapi,codebuild created,,,
gameui,1022gameui,gameui1022,1022ui-staging.mapplegames.com,817175755994.dkr.ecr.eu-west-1.amazonaws.com/1022gameui,,,,
gameserver,1022gameserver,gameplay1022,1022gameserver-staging.mapplegames.com,817175755994.dkr.ecr.eu-west-1.amazonaws.com/1022gameserver,codebuild created,,,
python,1022python,python1022,,817175755994.dkr.ecr.eu-west-1.amazonaws.com/1022python,codebuild created,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
For Paris,,,,,,,,
1002,project name,Release name,Domain name,ECR Name,Status,,,
stream,streamingui-1002-dev,streaming-ui-1002,streamingui-1002-dev.mapple.world,817175755994.dkr.ecr.eu-west-3.amazonaws.com/streamingui-1002-dev,codebuild created,,,
result,result-1002-dev,result-api-1002,result-1002-dev.mapple.world,817175755994.dkr.ecr.eu-west-3.amazonaws.com/result-1002-dev,codebuild created,,,
pnl,pnl-1002-dev,pnl-api-1002,pnl-1000-dev.mapple.world,817175755994.dkr.ecr.eu-west-3.amazonaws.com/pnl-1002-dev,codebuild created,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
1020,project name,Release name,Domain name,ECR Name,Status,,,
stream,streamingui-1020-dev,streaming-ui-1020,streamingui-1020-dev.mapple.world,817175755994.dkr.ecr.eu-west-3.amazonaws.com/streamingui-1020-dev,codebuild created,,,
result,result-1020-dev,result-api-1020,result-1020-dev.mapple.world,817175755994.dkr.ecr.eu-west-3.amazonaws.com/result-1020-dev,codebuild created,,,
pnl,pnl-1020-dev,pnl-api-1020,pnl-1000-dev.mapple.world,817175755994.dkr.ecr.eu-west-3.amazonaws.com/pnl-1020-dev,codebuild created,,,
