,K1,K2,Grey K1,Req. Dt,Derived From SO NO,Segment,Customer,Gry EDOD,Gry REDOD,Line Creation Dt.,DocNo.,Line No,Sch P/I Dt,Order Qty,Plan I/p Dt,SO No,SO Line no,SubSegment,K3,K4,K5,K6,Shade,Dely Dt1,Dely Dt,Lot Qty,Disp Planned,Bal to exe,Plan Qty,PPC Remark,LabRef.No,Peach Std.,Repeat Cops,Tech Remark,Final Dispo Comment,Marketing Comment,Exec. Closed,LabRef Check,KE Desc,Std Rec Dt,PP Comment,F370R001 Stock,F370B001 Stock,F380B001 Stock,F380B101 Stock,F350B001 Stock,F350B101 Stock,Baddi Stk,F400B001 Stock,F400B101 Stock,F340R001 Stock,Budhni Stk,Pref Factory,YD/PD,Factory,Grey Stock
348,16009,BAMMJ,16009BDMM,14/07/2021,,RMGE,ORIENT CRAFT LTD (KNITWEAR DIV),23/10/2021,23/10/2021,14/07/2021,BLS75_S75-21000164,10,24/10/2021,0,19/10/2021,,,J CREW,CT-SF,RPT0000000,,,,,,0,,"15,000","15,000",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,236,0,368,0,"19,627",471,"20,702",0,0,0,0,21,FB,Baddi,50120.99
349,A130D594,BADKW,A130D594BADKW,29/07/2021,S75_S75-21000203/130,Brands,MOHAN CLOTHING CO PVT LTD,5/11/2021,10/10/2021,29/07/2021,BLS75_S75-21000203,130,12/10/2021,0,19/10/2021,,,BLACK BERRY,ST-SF,BRKUPAWTD0,,,,,,0,,"2,930","2,930",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,0,0,630,0,0,0,630,0,0,0,0,21,PD,Baddi,3650.0
350,16009,BAMMJ,16009BDMM,14/07/2021,,RMGE,ORIENT CRAFT LTD (KNITWEAR DIV),14/10/2021,14/10/2021,14/07/2021,BLS75_S75-21000163,10,15/10/2021,0,20/10/2021,,,J CREW,CT+NF,RPT0000000,CT+DA,,,,,0,,"25,000","25,000",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,236,0,368,0,"19,627",471,"20,702",0,0,0,0,21,RD,Baddi,50120.99
351,A1500219,BAMCSW,A1500219BAMCW,20/08/2021,,Brands,ARVIND BRANDS (ARROW),31/10/2021,15/10/2021,20/08/2021,BLS81_S81-21001569,40,25/10/2021,582,24/10/2021,S81_S81-21001569,40,ARROW,ST-SF,8000221884,,,FA21ASSPSH013N1,7/11/2021,582-07/11/2021,0,,582,582,Rpt update 27/8,,,S81-21000247/60,,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,,
352,A1500219,BAMCSW,A1500219BAMCW,20/08/2021,,Brands,ARVIND BRANDS (ARROW),31/10/2021,15/10/2021,21/08/2021,BLS81_S81-21001569,50,25/10/2021,568,24/10/2021,S81_S81-21001569,50,ARROW,ST-SF,8000221884,,,FA21ASSPSH013N1,7/11/2021,568-07/11/2021,0,,568,568,Rpt update 27/8,,,S81-21000247/60,,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,,
353,A116A661,BDKC,A116A661BDKCD,19/05/2021,M75_M75-21000052/10,RMGE,STANDARD GROUP,14/10/2021,14/10/2021,19/05/2021,BLM75_M75-21000052,10,15/10/2021,0,25/10/2021,,,CARHARTT,ST-PCH,STDAWTD000,,,,,,0,,"219,344","219,344",,,,,OK,,Reed Procurement on 15th Aug,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,"96,641","4,977",0,"101,617",22,PD,Budhni,378185.82
354,13257,BDDKO,13257BDDKDO,11/6/2021,M75_M75-21000032/30,RMGE,CELEBRITY FASHIONS LTD,1/1/3000,16/10/2021,11/6/2021,BLM75_M75-21000032,30,25/09/2021,0,25/10/2021,,,VF(Timberland),ST-PF,RPT0000000,,,,,,0,,"16,488","16,488",,,,,OK,,1,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,"29,267","7,138",-126,"36,279",22,PD,Budhni,115881.71
355,132194,BDMCO,132194BDMCDO,3/5/2021,,RMGE,CELEBRITY FASHIONS LTD,1/1/3000,28/09/2021,11/6/2021,BLM75_M75-21000036,30,1/10/2021,0,25/10/2021,,,VF(Timberland),ST-SF,RPT0000000,,,,,,0,,"45,000","45,000",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,"13,174","1,812",0,"14,986",22,PD,Budhni,26737.84
356,A150C974,BAMMJ,A150C974BAMM,28/06/2021,M75_M75-21000039/30,RMGE,CELEBRITY FASHIONS LTD,1/1/3000,30/08/2021,28/06/2021,BLM75_M75-21000039,30,10/10/2021,0,25/10/2021,,,VF(Timberland),TC-AM1ET,RPT0000000,,,,,,0,,947,947,Order To Punch,,,,,,,Unchecked,,,1/1/1900,,0,0,0,0,"13,949",0,"13,949",0,0,0,0,21,PD,Baddi,3804.0
357,A150C974,BAMMJ,A150C974BAMM,4/5/2021,M75_M75-21000039/10,RMGE,CELEBRITY FASHIONS LTD,1/1/3000,23/08/2021,4/5/2021,BLM75_M75-21000039,10,10/10/2021,0,25/10/2021,,,VF(Timberland),TC-AM1ET,RPT0000000,,,,,,0,,958,958,rpt SO awt,,,,,,Spill over Aug 21,Unchecked,,,1/1/1900,,0,0,0,0,"13,949",0,"13,949",0,0,0,0,21,PD,Baddi,3804.0
358,15000873,BAMMB,15000873BAMMB,29/07/2021,,Brands,MOHAN CLOTHING CO PVT LTD,7/11/2021,1/10/2021,29/07/2021,BLS75_S75-21000203,60,1/10/2021,0,25/10/2021,,,BLACK BERRY,CT-SF,BRKUPAWTD0,,,,,,0,,"2,000","2,000",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,,
359,A116A661,BDKC,A116A661BDKCD,19/05/2021,,RMGE,STANDARD GROUP,14/10/2021,14/10/2021,15/07/2021,BLM75_M75-21000053,70,15/10/2021,0,25/10/2021,,,CARHARTT,ST-PCH,STDAWTD000,,,,,,0,,"115,000","115,000",,,,,OK,,Reed Procurement on 15th Aug,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,"96,641","4,977",0,"101,617",22,PD,Budhni,378185.82
360,A116A661,BDKC,A116A661BDKCD,19/05/2021,,RMGE,STANDARD GROUP,14/10/2021,14/10/2021,15/07/2021,BLM75_M75-21000052,80,15/10/2021,0,25/10/2021,,,CARHARTT,ST-PCH,STDAWTD000,,,,,,0,,"125,500","125,500",,,,,OK,,Reed Procurement on 15th Aug,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,"96,641","4,977",0,"101,617",22,PD,Budhni,378185.82
361,A116A661,BDKC,A116A661BDKCD,19/05/2021,M75_M75-21000053/10,RMGE,STANDARD GROUP,14/10/2021,14/10/2021,19/05/2021,BLM75_M75-21000053,10,15/10/2021,0,25/10/2021,,,CARHARTT,ST-PCH,STDAWTD000,,,,,,0,,"164,992","164,992",,,,,OK,,Reed Procurement on 15th Aug,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,"96,641","4,977",0,"101,617",22,PD,Budhni,378185.82
362,132194,BAMCO,132194BDMCO,3/5/2021,,RMGE,CELEBRITY FASHIONS LTD,1/1/3000,24/08/2021,11/6/2021,BLM75_M75-21000037,20,11/11/2021,0,31/10/2021,,,VF(Timberland),ST+NF,RPT0000000,ST+SF,,,,,0,,"3,000","3,000",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,293,0,0,0,"3,116",0,"3,409",0,0,0,0,21,PD,Baddi,3409.0
363,A160B442,BAMCBWN,A160B442BAMCBWN,21/02/2020,,Brands,Aditya Birla Fashion and Retail Limited,7/4/2020,24/08/2021,20/03/2021,BLS81_S81-19005725,20,1/11/2021,900,1/11/2021,S81_S81-19005725,20,LOUIS PHILIPPE,ST+8NF,1V00087781,ST+8SF,,F521LYSH3131,27/11/2021,900-27/11/2021,0,,900,900,"Order release 24/8,Covid Hold 2,FQT-Running 25/3,LD app 23/3,New article mail 28/5",286/03/21,,,,,Old Stock(Jun),Unchecked,286/03/21,,1/1/1900,,0,0,0,0,"1,185",0,"1,185",0,0,0,0,21,PD,Baddi,1185.0
364,A150C944,BAMCBJ,A150C944BAMCB,7/8/2021,,GAP,PT UNGARAN SARI GARMENTS,30/10/2021,30/10/2021,7/8/2021,BLF85_F85-21000355,4,1/11/2021,749,2/11/2021,F85_F85-21000355,4,CALVEIN KLEIN,ST-DA,STDAWTD000,,,CTEG423_STONEY BEIGE,16/11/2021,748-16/11/2021,0,,749,749,LD std awtd,,F85-21000268,,,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,,
365,85-2705,BA,120E94BACCBW2,8/3/2021,,DE&B,"STYLEM TAKISADA-OSAKA CO., LTD",20/06/2021,4/6/2021,8/3/2021,BLS83_S83-20000187,20,11/11/2021,854,2/11/2021,S83_S83-20000187,20,JIS STD,ST-PF,RPT0000000,,,67-5822,25/11/2021,854-25/11/2021,0,,854,854,Rpt app awtd,,,,,,", Spill over Jun 21",Unchecked,,,1/1/1900,,67,0,0,0,0,0,67,0,0,0,0,21,PD,Baddi,67.0
366,A124A503,BAKCWLR4J,A124A503BAKCDWLR,19/07/2021,,DE&B,C&A BANGLADESH LTD,5/11/2021,5/11/2021,19/07/2021,BLS75_S75-21000170,1,1/11/2021,0,7/11/2021,,,C & A,BSC4+PNF,STDAWTD000,BSC4+PMMAB,,,,,0,,"18,288","18,288",Order To Punch,,,,,,ESC(22-July),Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,,
367,A132A415,BAMCJ,A132A415BDMCD,17/04/2021,,GAP,REFAT GARMENTS LTD,1/1/3000,5/11/2021,23/08/2021,BLM75_M75-21000007,81,12/11/2021,0,7/11/2021,,,BANANA REPUBLIC FACTORY STORES,ST-XF,BRKUPAWTD0,,,,,,0,,"69,999","69,999",,,,,,,,Unchecked,,,1/1/1900,,-922,0,0,0,0,0,-922,"36,760",790,0,"37,550",21,PD,Baddi,1172.23
368,A132A415,BAMCJ,A132A415BDMCD,17/04/2021,,GAP,REFAT GARMENTS LTD,1/1/3000,5/11/2021,23/08/2021,BLM75_M75-21000007,81,12/11/2021,0,7/11/2021,,,BANANA REPUBLIC FACTORY STORES,ST-XF,BRKUPAWTD0,,,,,,0,,"69,999","69,999",,,,,,,,Unchecked,,,1/1/1900,,-922,0,0,0,0,0,-922,"36,760",790,0,"37,550",21,PD,Budhni,57314.13
369,11600109,BAOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,5/11/2021,14/07/2021,BLM75_M75-21000008,40,6/11/2021,0,9/11/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"49,999","49,999",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",21,PD,Baddi,19014.5
370,11600109,BAOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,5/11/2021,14/07/2021,BLM75_M75-21000008,40,6/11/2021,0,9/11/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"49,999","49,999",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",21,PD,Budhni,109145.88
371,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,4/11/2021,3/6/2021,BLM75_M75-21000009,160,10/11/2021,0,12/11/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"49,999","49,999",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Baddi,19014.5
372,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,4/11/2021,3/6/2021,BLM75_M75-21000009,160,10/11/2021,0,12/11/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"49,999","49,999",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Budhni,109145.88
373,14252,BACCBJ,14252BACCB5,14/08/2021,,RMGE,SHAHI EXPORT PVT LTD (BGLR DIV),10/11/2021,10/11/2021,26/08/2021,BLS81_S81-21001494,30,11/11/2021,900,12/11/2021,S81_S81-21001494,30,ABERCROMBIE & FITCH,PC-SF,7273,,,Bright White,26/11/2021,900-26/11/2021,0,,900,900,Rpt update 27/8,,,S81-21000924,,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,,
374,14252,BACCBJ,14252BACCB5,25/08/2021,,RMGE,SHAHI EXPORT PVT LTD (BGLR DIV),10/11/2021,10/11/2021,26/08/2021,BLS81_S81-21001646,30,10/11/2021,350,12/11/2021,S81_S81-21001646,30,ABERCROMBIE & FITCH,PC+NF,000000000P,PC+SF,,JAWA CW81,4/12/2021,350-04/12/2021,0,,350,350,"Print White update 27/8,K6/K7 awtd 27/8",,,,,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,FB,,
375,14252,BACCBJ,14252BACCB5,25/08/2021,,RMGE,SHAHI EXPORT PVT LTD (BGLR DIV),10/11/2021,10/11/2021,26/08/2021,BLS81_S81-21001646,40,10/11/2021,250,12/11/2021,S81_S81-21001646,40,ABERCROMBIE & FITCH,PC+NF,000000000P,PC+SF,,KIA ISLAND CW 77,4/12/2021,250-04/12/2021,0,,250,250,"Print White update 27/8,K6/K7 awtd 27/8",,,,,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,FB,,
376,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,7/11/2021,3/6/2021,BLM75_M75-21000009,170,10/11/2021,0,13/11/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"49,999","49,999",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Baddi,19014.5
377,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,7/11/2021,3/6/2021,BLM75_M75-21000009,170,10/11/2021,0,13/11/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"49,999","49,999",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Budhni,109145.88
378,16000108,BAMMB,16000232BAMMBN2,29/07/2021,,Brands,MOHAN CLOTHING CO PVT LTD,15/10/2021,15/10/2021,29/07/2021,BLS75_S75-21000203,40,15/11/2021,0,13/11/2021,,,BLACK BERRY,CT-8SF,BRKUPAWTD0,,,,,,0,,"3,800","3,800",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,369,0,0,0,0,0,369,0,0,0,0,21,PD,Baddi,8678.0
379,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,15/11/2021,3/6/2021,BLM75_M75-21000009,180,10/11/2021,0,14/11/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"49,999","49,999",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Baddi,19014.5
380,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,15/11/2021,3/6/2021,BLM75_M75-21000009,180,10/11/2021,0,14/11/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"49,999","49,999",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Budhni,109145.88
381,14252,BAB,14252BACCB5,11/8/2021,,Brands,Aditya Birla Fashion and Retail Limited,16/02/2022,14/11/2021,11/8/2021,BLS75_S75-21000234,10,15/11/2022,0,16/11/2021,,,PETER ENGLAND,PC-SF,STDAWTD000,,,,,,0,,"7,000","7,000",Order To Punch,,,,,,ESC (17-Aug),Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,,
382,15000873,BAMMB,15000873BAMMB,29/07/2021,,Brands,MOHAN CLOTHING CO PVT LTD,7/11/2021,7/11/2021,29/07/2021,BLS75_S75-21000203,80,8/11/2021,0,16/11/2021,,,BLACK BERRY,CT-SF,BRKUPAWTD0,,,,,,0,,"2,000","2,000",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,,
383,16009,BAMMJ,16009BDMM,14/07/2021,,RMGE,ORIENT CRAFT LTD (KNITWEAR DIV),14/11/2021,14/11/2021,14/07/2021,BLS75_S75-21000163,20,15/11/2021,0,16/11/2021,,,J CREW,CT+NF,RPT0000000,CT+DA,,,,,0,,"25,000","25,000",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,236,0,368,0,"19,627",471,"20,702",0,0,0,0,21,RD,Baddi,50120.99
384,16000108,BAMM,16000232BAMMN,29/07/2021,S75_S75-21000203/30,Brands,MOHAN CLOTHING CO PVT LTD,15/11/2021,15/11/2021,29/07/2021,BLS75_S75-21000203,30,16/11/2021,0,16/11/2021,,,BLACK BERRY,CT-8SF,BRKUPAWTD0,,,,,,0,,18,18,Order To Punch,,,,,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,Baddi,5564.0
385,A109A001,BDKK,A109A001BDKK,19/05/2021,M75_M75-21000054/30,RMGE,GOKALDAS EXPORTS LTD,25/11/2021,25/11/2021,5/8/2021,BLS81_S81-21001336,20,25/11/2021,651,16/11/2021,S81_S81-21001336,20,CARHARTT,CT-CH1,8300156429,,,Navy POFY220007716,28/11/2021,651-28/11/2021,0,,651,651,Rpt order clr on 6 Aug/HF ok,,,S81-21000027,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,"63,615","8,956",-71,"72,500",22,PD,Budhni,144389.94
386,14252,BACCBJ,14252BACCB5,21/08/2021,,RMGE,SHAHI EXPORT PVT LTD (BGLR DIV),10/11/2021,10/11/2021,26/08/2021,BLS81_S81-21001577,30,11/11/2021,600,16/11/2021,S81_S81-21001577,30,ABERCROMBIE & FITCH,PC-SF,STDAWTD000,,,Casual Black,26/11/2021,600-26/11/2021,0,,600,600,Ld std awtd,,,,,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,,
387,14252,BAB,14252BACCB5,11/8/2021,,Brands,Aditya Birla Fashion and Retail Limited,17/02/2022,16/11/2021,11/8/2021,BLS75_S75-21000234,40,16/11/2022,0,18/11/2021,,,PETER ENGLAND,PC-SF,STDAWTD000,,,,,,0,,"3,000","3,000",Order To Punch,,,,,,ESC (17-Aug),Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,FB,,
388,A160B551,BAMCBW,A160B551BAMCBW,29/07/2021,,Brands,MOHAN CLOTHING CO PVT LTD,31/10/2021,20/10/2021,29/07/2021,BLS75_S75-21000203,110,10/11/2021,0,18/11/2021,,,BLACK BERRY,ST-AM1,BRKUPAWTD0,,,,,,0,,"6,000","6,000",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,Baddi,199.0
389,15000873,BAMM,15000873BAMM,29/07/2021,,Brands,MOHAN CLOTHING CO PVT LTD,18/10/2021,18/10/2021,29/07/2021,BLS75_S75-21000203,70,7/11/2021,0,18/11/2021,,,BLACK BERRY,CT-SF,BRKUPAWTD0,,,,,,0,,"5,000","5,000",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,Baddi,5618.0
390,A160B551,BAMCW,A160B551BAMCW,29/07/2021,,Brands,MOHAN CLOTHING CO PVT LTD,15/11/2021,25/10/2021,29/07/2021,BLS75_S75-21000203,120,16/11/2021,0,18/11/2021,,,BLACK BERRY,ST-AM1,BRKUPAWTD0,,,,,,0,,"9,000","9,000",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,,
391,16009,BAMMJ,16009BDMM,14/07/2021,,RMGE,ORIENT CRAFT LTD (KNITWEAR DIV),18/11/2021,18/11/2021,14/07/2021,BLS75_S75-21000161,20,19/11/2021,0,20/11/2021,,,J CREW,CT-SF,RPT0000000,,,,,,0,,"30,000","30,000",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,236,0,368,0,"19,627",471,"20,702",0,0,0,0,21,PD,Baddi,50120.99
392,A124A503,BAKCWLR4J,A124A503BAKCDWLR,19/07/2021,,DE&B,C&A BANGLADESH LTD,2/12/2021,2/12/2021,5/8/2021,BLS75_S75-21000173,22,20/11/2021,0,24/11/2021,,,C & A,BSC4-PMMXF,STDAWTD000,,,,,,0,,"27,432","27,432",Order To Punch,,,,,,ESC(22-July),Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,,
393,14252,BAB,14252BACCB5,11/8/2021,,Brands,Aditya Birla Fashion and Retail Limited,20/02/2022,22/11/2021,11/8/2021,BLS75_S75-21000234,20,23/11/2022,0,24/11/2021,,,PETER ENGLAND,PC-SF,STDAWTD000,,,,,,0,,"10,000","10,000",Order To Punch,,,,,,ESC (17-Aug),Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,,
394,A109A001,BDKK,A109A001BDKK,19/05/2021,M75_M75-21000054/30,RMGE,GOKALDAS EXPORTS LTD,25/11/2021,25/11/2021,19/05/2021,BLM75_M75-21000054,30,25/11/2021,0,25/11/2021,,,CARHARTT,CT-CH1,RPT0000000,,,,,,0,,1,1,,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,"63,615","8,956",-71,"72,500",22,PD,Budhni,144389.94
395,A116A661,BDKC,A116A661BDKCD,19/05/2021,,RMGE,STANDARD GROUP,14/11/2021,14/11/2021,19/05/2021,BLM75_M75-21000052,30,15/11/2021,0,25/11/2021,,,CARHARTT,ST-PCH,STDAWTD000,,,,,,0,,"235,000","235,000",,,,,OK,,Reed Procurement on 15th Aug,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,"96,641","4,977",0,"101,617",22,PD,Budhni,378185.82
396,A116A661,BDKC,A116A661BDKCD,19/05/2021,,RMGE,STANDARD GROUP,14/11/2021,14/11/2021,19/05/2021,BLM75_M75-21000052,20,15/11/2021,0,25/11/2021,,,CARHARTT,ST-PCH,STDAWTD000,,,,,,0,,"109,500","109,500",,,,,OK,,Reed Procurement on 15th Aug,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,"96,641","4,977",0,"101,617",22,PD,Budhni,378185.82
397,14252,BAB,14252BACCB5,11/8/2021,,Brands,Aditya Birla Fashion and Retail Limited,7/2/2022,25/11/2021,11/8/2021,BLS75_S75-21000234,50,25/11/2022,0,25/11/2021,,,PETER ENGLAND,PC-SF,STDAWTD000,,,,,,0,,"4,000","4,000",Order To Punch,,,,,,ESC (17-Aug),Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,FB,,
398,A116A661,BDKC,A116A661BDKCD,19/05/2021,,RMGE,STANDARD GROUP,14/11/2021,14/11/2021,19/05/2021,BLM75_M75-21000053,20,15/11/2021,0,25/11/2021,,,CARHARTT,ST-PCH,STDAWTD000,,,,,,0,,"50,000","50,000",,,,,OK,,Reed Procurement on 15th Aug,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,"96,641","4,977",0,"101,617",22,PD,Budhni,378185.82
399,16009,BAMMJ,16009BDMM,14/07/2021,,RMGE,ORIENT CRAFT LTD (KNITWEAR DIV),23/11/2021,23/11/2021,14/07/2021,BLS75_S75-21000164,20,23/11/2021,0,25/11/2021,,,J CREW,CT-SF,RPT0000000,,,,,,0,,"15,000","15,000",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,236,0,368,0,"19,627",471,"20,702",0,0,0,0,21,FB,Baddi,50120.99
400,A116A661,BDKC,A116A661BDKCD,19/05/2021,,RMGE,STANDARD GROUP,14/11/2021,14/11/2021,19/05/2021,BLM75_M75-21000053,30,15/11/2021,0,25/11/2021,,,CARHARTT,ST-PCH,STDAWTD000,,,,,,0,,"165,000","165,000",,,,,OK,,Reed Procurement on 15th Aug,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,"96,641","4,977",0,"101,617",22,PD,Budhni,378185.82
401,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,13/12/2021,9/6/2021,BLM75_M75-21000009,200,12/12/2021,0,1/12/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"89,999","89,999",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Baddi,19014.5
402,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,13/12/2021,9/6/2021,BLM75_M75-21000009,200,12/12/2021,0,1/12/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"89,999","89,999",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Budhni,109145.88
403,A124A503,BAKCWLR4J,A124A503BAKCDWLR,19/07/2021,,DE&B,C&A BANGLADESH LTD,5/11/2021,5/11/2021,5/8/2021,BLS75_S75-21000170,31,2/12/2021,0,2/12/2021,,,C & A,BSC4+PNF,STDAWTD000,BSC4+PMMAB,,,,,0,,"13,716","13,716",Order To Punch,,,,,,ESC(22-July),Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,,
404,A124A503,BAKCWLR4J,A124A503BAKCDWLR,19/07/2021,,DE&B,C&A BANGLADESH LTD,2/12/2021,2/12/2021,5/8/2021,BLS75_S75-21000173,42,1/12/2021,0,3/12/2021,,,C & A,BSC4-PMMXF,STDAWTD000,,,,,,0,,"58,522","58,522",Order To Punch,,,,,,ESC(22-July),Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,,
405,A124A503,BAKCWLR4J,A124A503BAKCDWLR,19/07/2021,,DE&B,C&A BANGLADESH LTD,2/12/2021,2/12/2021,5/8/2021,BLS75_S75-21000173,32,5/12/2021,0,4/12/2021,,,C & A,BSC4-PMMXF,STDAWTD000,,,,,,0,,"32,004","32,004",Order To Punch,,,,,,ESC(22-July),Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,,
406,14252,BAB,14252BACCB5,11/8/2021,,Brands,Aditya Birla Fashion and Retail Limited,24/02/2022,5/12/2021,11/8/2021,BLS75_S75-21000234,30,6/12/2022,0,7/12/2021,,,PETER ENGLAND,PC-SF,STDAWTD000,,,,,,0,,"13,000","13,000",Order To Punch,,,,,,ESC (17-Aug),Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,,
407,85-2734,BAMMO,140I21BAMMO,22/01/2019,,DE&B,STYLEM Co. Ltd,28/05/2019,28/04/2020,22/01/2019,BLS83_S83-18000361,1,12/12/2021,207,8/12/2021,S83_S83-18000361,1,JIS STD,CT-PDA,RPT0000000,,,67-5097,27/08/2021,207-27/08/2021,0,,207,207,"LA,Batch article,,Rpt app awtd",,29/10/2013-268,,,,"Swapped with S83-18000215  (July), Spill over Jul 19, Spill over Feb 20",Unchecked,,,1/1/1900,,276,0,0,0,"1,348",0,"1,624",0,0,0,0,21,PD,Baddi,1624.0
