,K1,K2,Grey K1,Req. Dt,Derived From SO NO,Segment,Customer,Gry EDOD,Gry REDOD,Line Creation Dt.,DocNo.,Line No,Sch P/I Dt,Order Qty,Plan I/p Dt,SO No,SO Line no,SubSegment,K3,K4,K5,K6,Shade,Dely Dt1,Dely Dt,Lot Qty,Disp Planned,Bal to exe,Plan Qty,PPC Remark,LabRef.No,Peach Std.,Repeat Cops,Tech Remark,Final Dispo Comment,Marketing Comment,Exec. Closed,LabRef Check,KE Desc,Std Rec Dt,PP Comment,F370R001 Stock,F370B001 Stock,F380B001 Stock,F380B101 Stock,F350B001 Stock,F350B101 Stock,Baddi Stk,F400B001 Stock,F400B101 Stock,F340R001 Stock,Budhni Stk,Pref Factory,YD/PD,Factory,Grey Stock
308,A109A001,BDKK,A109A001BDKK,19/05/2021,M75_M75-21000054/20,RMGE,SHAHI EXPORT PVT LTD (BGLR DIV),20/10/2021,20/10/2021,19/07/2021,BLS81_S81-21001021,50,9/9/2021,618,30/09/2021,S81_S81-21001021,50,CARHARTT,CT-CH1,9000072209,,,BLK- Black,12/10/2021,618-12/10/2021,0,,618,618,Rpt order clr on 20 July/HF ok,,,S81-20004302,OK,,", Spill over Aug 21",Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,"63,615","8,956",-71,"72,500",22,PD,Budhni,144389.94
309,A230A232,BDMMO,A230A232BDMMO,18/11/2020,S75_S75-20000353/20,RMGE,CELEBRITY FASHIONS LTD,8/3/2021,8/3/2021,18/11/2020,BLS75_S75-20000353,20,10/10/2021,0,1/10/2021,,,TIMBER LAND,CT-SF,RPT0000000,,,,,,0,,"5,218","5,218",Rpt shade awtd/HF MS,,,,"OK,PL MAKE F0Q PO",,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,"9,340",0,0,"9,340",22,PD,Budhni,9361.68
310,A160A751,BADD,A160A751BADD,5/8/2021,,DE&B,BABYLON GARMENTS LTD.,20/09/2021,20/09/2021,23/08/2021,BLF83_F83-21000169,50,1/10/2021,780,1/10/2021,F83_F83-21000169,50,MILL NORMS( MILL STD),JV+NF,STDAWTD000,JV+SF,,AWTD.,,,0,,780,780,Ld std awtd,,,,,,,Unchecked,,,1/1/1900,,193,0,0,0,"4,600",0,"4,793",0,0,0,0,21,PD,Baddi,3267.0
311,A230A232,BDMMO,A230A232BDMMO,18/11/2020,,RMGE,CELEBRITY FASHIONS LTD,12/3/2021,12/3/2021,18/11/2020,BLS75_S75-20000353,10,10/10/2021,0,2/10/2021,,,TIMBER LAND,CT-SF,RPT0000000,,,,,,0,,"2,500","2,500",Repeat shade awtd/HF MS,,,,"OK,PL MAKE F0Q PO",,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,"9,340",0,0,"9,340",22,PD,Budhni,9361.68
312,12400005,BACCJ,12400005BACC,12/8/2021,,DE&B,LAVENDER GARMENT LTD,30/09/2021,30/09/2021,12/8/2021,BLF85_F85-21000367,20,1/10/2021,982,2/10/2021,F85_F85-21000367,20,Benetton,CT+PNF,6000225071,CT+PF,,72L,28/10/2021,982-28/10/2021,0,,982,982,Ydg app ctg awtd,,BD/EB_BDEB-21000003/20,BD/EB_BDEB-21000003/20,,,,Unchecked,,,1/1/1900,,-140,0,0,0,0,0,-140,0,0,-162,-162,21,PD,Baddi,2954.0
313,15000873,BAMM,15000873BAMM,29/07/2021,,Brands,MOHAN CLOTHING CO PVT LTD,18/10/2021,28/09/2021,29/07/2021,BLS75_S75-21000203,50,1/10/2021,0,3/10/2021,,,BLACK BERRY,CT-SF,BRKUPAWTD0,,,,,,0,,"5,000","5,000",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,PD,Baddi,5618.0
314,A132B006,BADKJ,A132B174BAMD,14/08/2021,,Hong Kong Territory,STANDARD STITCHES LTD. (WOVEN UNIT),30/10/2021,2/10/2021,21/08/2021,BLS85_S85-21000201,60,1/10/2021,914,4/10/2021,S85_S85-21000201,60,TCP,CT+PNF,RFP0000000,CT+PXF,,071647_Patchwork Floral_Peri T,24/10/2021,914-24/10/2021,0,,914,914,"Print RFD update 27/8,K6/K7 awtd 27/8",,S85-21000124,S85-21000124,,,,Unchecked,,,1/1/1900,,0,0,0,0,0,0,0,0,0,0,0,21,RD,Baddi,48444.0
315,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,4/10/2021,3/6/2021,BLM75_M75-21000009,100,10/10/2021,0,6/10/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"49,533","49,533",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Baddi,19014.5
316,11600109,BDOKD,11600109BDOKD,17/04/2021,,GAP,GAP INTERNATIONAL,1/1/3000,4/10/2021,3/6/2021,BLM75_M75-21000009,100,10/10/2021,0,6/10/2021,,,OLD NAVY MENS,ST-PF,BRKUPAWTD0,,,,,,0,,"49,533","49,533",,,,,OK,,,Unchecked,,,1/1/1900,,0,0,0,0,"19,022",0,"19,022","92,263","4,565",515,"97,344",22,PD,Budhni,109145.88
317,14000748,BADDWJ,14000748BADDW,2/8/2021,,India Buying Houses,LINK UP TEXTILES PVT LTD,5/10/2021,5/10/2021,6/8/2021,BLS75_S75-21000217,30,6/10/2021,0,7/10/2021,,,GEORGE,CT+PNF,STDAWTD000,CT+PF,,,,,0,,"40,000","40,000",Order To Punch,,,,,,,Unchecked,,,1/1/1900,,352,0,0,0,"1,898",0,"2,250","11,576","1,062",0,"12,637",21,PD,Baddi,2250.0
